Association,Nombre de membres en 2017,Code de la région
Alma Ultimate (AU), 28, 2
Ultimate Québec (UQ), 1620, 3
Ultimate Trois-Rivières (UTR), 127, 4
Association Ultimate Gaspé (AUG), 60, 11
Ultimate Grand Montréal (UGM), 3454, 6
Association d’Ultimate de Sherbrooke (AUS), 259, 5
Frisbee Ultime Lanaudière (FUL), 112, 14
Ultimate St-Jean (USJ),  175, 16
Association Utimate Rimouski (AUR), 58, 1
Association d’Ultimate de l’Outaouais (AUO), 188, 7
Ligue d’Ultimate de Rouyn-Noranda (LURN), 220, 8
Ultimate Tremblant (UT), 87, 15
Ultimate Drummond (UD), 28, 17
Association d’ultimate frisbee de Plessisville (AUFP), 47, 17
Ligue ultimate Vallée-de-l’or (LUVO), 95, 8
Ultimate frisbee Granby (UFG), 147, 16
Ligue d’ultimate d’Amos (LUA), 65, 8
Ultimate Saint-Hyacinthe (USH), 76, 16
Association Ultimate Victoriaville (AUV), 62, 17

