Region,Code,Population (2015),Population (2013),Superficie (km²),Densité (hab./km²),Plus grande ville
Bas-Saint-Laurent,               1,  199557,    201091,    22405,    8.9,    Rimouski
Saguenay–Lac-Saint-Jean,         2,  277209,    278069,   104035,    2.7,    Saguenay
Capitale-Nationale,              3,  737455,    725095,    19286,   37.5,   Québec
Mauricie,                        4,  266907,    266542,    39748,    6.7,    Trois-Rivières
Estrie,                          5,  322099,    318350,    10187,   31.3,   Sherbrooke
Montréal,                        6, 1999795,   1959987,      504, 3888.9, Montréal
Outaouais,                       7,  385579,    381200,    32841,   11.6,   Gatineau
Abitibi-Témiscamingue,           8,  147700,    147931,    64700,    2.3,    Rouyn-Noranda
Côte-Nord,                       9,   93932,     95552,   300281,    0.3,    Sept-Îles
Nord-du-Québec,                 10,   44769,     43999,   718229,    0.1,    Chibougamau
Gaspésie–Îles-de-la-Madeleine,  11,   91786,     93284,    20937,    4.5,    Gaspé
Chaudière-Appalaches,           12,  421832,    418704,    15128,   27.7,   Lévis
Laval,                          13,  425225,    417304,      245, 1703.3, Laval
Lanaudière,                     14,  496086,    488927,    13528,   36.1,   Terrebonne
Laurentides,                    15,  592683,    580966,    21563,   26.9,   Saint-Jérôme
Montérégie,                     16, 1520094,   1499088,    11114,  134.9,  Longueuil
Centre-du-Québec,               17,  240872,    239245,     6926,   34.5,   Drummondville
